mz_15eV,15eV,mz_35eV,35eV,mz_55eV,55eV
207.0416,2.70E+01,123.0437,5.20E+01,831.3538,2.10E+01
346.1154,2.10E+01,135.0672,3.40E+01,832.7821,4.30E+01
472.2956,2.00E+01,204.8429,2.70E+01,833.41,2.10E+01
585.0953,2.10E+01,250.126,2.30E+01,834.485,2.10E+01
627.0685,2.30E+01,380.1782,2.60E+01,835.1246,2.50E+01
636.4523,2.30E+01,381.0643,2.50E+01,835.3933,2.60E+01
712.1672,2.40E+01,405.1503,2.20E+01,835.998,3.10E+01
719.1365,2.20E+01,422.2071,2.30E+01,836.3294,3.20E+01
726.5347,2.60E+01,449.105,2.50E+01,836.4366,2.00E+01
732.7048,2.00E+01,454.0802,2.70E+01,844.0647,1.10E+02
744.1747,2.30E+01,514.2521,3.20E+01,853.7623,2.10E+01
748.986,2.20E+01,532.3815,2.40E+01,854.9244,3.30E+01
758.5356,2.70E+01,538.218,8.40E+01,856.991,2.50E+01
762.6306,3.20E+01,563.0564,2.90E+01,864.5968,2.30E+01
765.2097,2.40E+01,574.7184,2.10E+01,870.9673,2.90E+01
766.374,3.70E+01,581.1834,2.40E+01,871.1951,2.20E+01
766.7938,2.10E+01,581.5388,2.30E+01,872.3138,2.20E+01
767.8013,2.10E+01,583.8533,3.20E+01,873.1951,2.50E+01
769.1329,2.40E+01,586.675,2.70E+01,873.4626,2.40E+01
770.0549,3.30E+01,607.6085,2.50E+01,873.9269,2.90E+01
770.9794,2.90E+01,612.0771,2.30E+01,874.1506,3.00E+01
771.764,2.10E+01,612.2533,3.10E+01,874.1865,2.50E+01
772.0296,2.90E+01,616.4258,2.20E+01,874.3155,6.80E+01
772.7144,2.10E+01,621.0047,1.01E+02,874.3857,6.64E+01
773.7351,2.70E+01,622.6289,2.60E+01,874.471,6.00E+01
777.2198,2.90E+01,625.0938,2.70E+01,875.4194,2.70E+01
777.3402,2.80E+01,627.0565,2.40E+01,994.0786,2.00E+01
779.0026,3.50E+01,629.6622,7.30E+01,1030.9395,2.20E+01
779.6539,2.40E+01,630.8829,2.80E+01,1072.6237,2.40E+01
781.6523,2.30E+01,632.0129,2.10E+01,1078.2278,2.30E+01
786.893,2.10E+01,638.0889,2.30E+01,,
788.0798,3.30E+01,639.4464,2.20E+01,,
790.3967,4.10E+01,639.6881,2.10E+01,,
791.368,2.00E+01,640.6048,2.10E+01,,
792.6422,2.70E+01,641.0925,2.40E+01,,
792.8234,2.50E+01,645.081,2.10E+01,,
795.1736,4.60E+01,650.0377,3.70E+01,,
795.4587,2.00E+01,651.4688,2.60E+01,,
795.5303,2.30E+01,659.5879,2.60E+01,,
796.605,2.20E+01,661.9945,3.40E+01,,
796.7819,2.20E+01,663.9064,4.40E+01,,
798.0067,2.10E+01,664.0031,2.60E+01,,
798.4941,2.30E+01,664.2954,3.90E+01,,
798.8254,3.00E+01,668.959,2.20E+01,,
799.2444,2.70E+01,674.1125,2.40E+01,,
800.9951,3.60E+01,683.4833,5.00E+01,,
802.7182,2.10E+01,686.0087,3.50E+01,,
803.4523,3.90E+01,688.9487,2.00E+01,,
804.7506,2.10E+01,690.5529,3.30E+01,,
805.5931,1.41E+02,691.7812,3.70E+01,,
805.7809,4.00E+01,693.6556,2.10E+01,,
805.9216,2.90E+01,701.9613,3.70E+01,,
806.4779,3.00E+01,703.3059,5.70E+01,,
807.172,2.50E+01,704.6546,2.90E+01,,
810.372,5.50E+01,712.3967,2.30E+01,,
811.9409,2.40E+01,712.8108,2.70E+01,,
812.3465,3.60E+01,715.1707,2.10E+01,,
813.5791,2.40E+01,718.6898,2.80E+01,,
814.8831,2.20E+01,719.531,2.40E+01,,
815.2188,4.70E+01,719.8936,3.00E+01,,
819.1905,3.00E+01,723.8565,2.20E+01,,
820.9663,2.30E+01,728.7338,4.30E+01,,
821.5438,3.00E+01,749.8959,2.40E+01,,
821.6603,3.10E+01,781.5247,2.60E+01,,
821.8569,4.10E+01,788.942,2.10E+01,,
822.6232,2.10E+01,840.2527,3.40E+01,,
828.0151,2.90E+01,848.58,2.60E+01,,
828.1339,2.90E+01,923.7888,2.10E+01,,
829.5359,2.20E+01,963.0306,4.10E+01,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,